Arabic,English,Hebrew,Russian,French
طريقك,Your way,הדרך שלך,Твой путь,Ta façon
علبة,can,פחית,может,peut
مسلسل,series,סִדרָה,ряд,série
عين,eye,עַיִן,глаз,œil
أعطيني,give me,תן לי,дай мне,donne-moi
بصورة,In a way,בדרך,В некотором смысле,Dans un sens
إياها,Be careful,הזהר,Будь осторожен,Faire attention
ست,six,שֵׁשׁ,шесть,six
بنت,Girl,ילדה,Девочка,Fille
باي,Bay,מִפרָץ,Залив,Baie
وجدوا,they found,הם מצאו,они нашли,ils ont trouvé
إم,Mother,אמא,Мать,Une mere
نمت,I slept,ישנתי,Я спал,je dormais
قتلها,killed her,הרג אותה,убил ее,l'a tuée
بالأعلى,Above,מֵעַל,Выше,Au-dessus de
غيرت,Change,שינוי,Изменять,Changement
أماكن,Places,מקומות,Места,Lieux
وأنه,And that,וזה,И это,Et cela
وعدت,I promised,הבטחתי,Я обещал,J'ai promis
جلسة,session,מוֹשָׁב,сессия,session
كأنك,As if,כאילו,Будто,Comme si
لسنوات,For years,במשך שנים,Годами,Pendant des années
أطلقت,Launched,הושק,Запущен,Lancé
أحبّ,I love,אוהב,Я люблю,J'aime
قتال,fighting,לְחִימָה,боевой,lutte
هادئة,Quiet,שֶׁקֶט,Тихий,Calme
للغايه,Extremely,מְאוֹד,Очень сильно,Extrêmement
لحسن,Good,טוֹב,Хороший,Bien
تدمير,destruction,הֶרֶס,разрушение,destruction
يعيشون,They live,הם חיים,Они живут,Ils vivent
الأوامر,Orders,הזמנות,Приказ,Ordres
وحيداً,Lonely,בּוֹדֵד,Одинокий,Seul
عليَّ,on,על,на,sur
سلاحك,Your weapon,הנשק שלך,Ваше оружие,Votre arme
أرأيت,I saw,ראיתי,Я видел,J'ai vu
شرف,honor,כבוד,честь,honneur
يُمكننا,We can,אנחנו יכולים,Мы можем,Nous pouvons
طاقة,energy,אנרגיה,энергия,énergie
بروس,Bruce,ברוס,Брюс,Bruce
السباق,Race,גזע,Раса,Course
الطبية,Medical,רְפוּאִי,Медицинский,Médical
سايمون,Simon,סיימון,Саймон,Simon
بالجوار,In the vicinity,בסביבה,В непосредственной близости,Au voisinage
بأسرع,Faster,מהיר יותר,Быстрее,Plus rapide
ساره,pleasant,שרה,приятный,agréable
معًا,together,יַחַד,вместе,ensemble
أجهزة,Devices,מכשירים,Устройства,Dispositifs
رأي,opinion,דעה,мнение,avis
البيرة,Beer,בירה,Пиво,Bière
سيموت,will die,ימות,умрет,mourront
المكسيك,Mexico,מקסיקו,Мексика,Mexique
كنتما,You are,אתה,Ты,Tu es
الحساب,the account,החשבון,счет,le compte
فصل,Season,עונה,Время года,Saison
بعنوان,Entitled,רַשַׁאִי,Уполномоченный,Intitulé
التركيز,the focus,הפוקוס,фокус,la mise au point
أيمكننا,Can we,האם אנחנו יכולים,Можем мы,Peut-on
لعينة,Sample,לִטעוֹם,Образец,Goûter
تتبع,Trace,זֵכֶר,След,Trace
لمرة,Once,פַּעַם,Один раз,Une fois
مهلًا,Come on,בחייך,Ну давай же,Allez
تسجيل,registration,הקלטה,Регистрация,inscription
تحول,Transformation,טרנספורמציה,Трансформация,Transformation
كذبة,a lie,שקר,ложь,un mensonge
إجازة,vacation,חופשה,отпуск,conge
منظمة,organized,ארגון,организованный,organisé
تاي,Tai,טאי,Тай,Tai
مخطئ,Wrong,לא בסדר,Неправильный,Faux
نفسكِ,yourself,עַצמְךָ,сам,toi-même
كاذب,liar,שַׁקרָן,лжец,menteur
رايتشل,Rachel,רחל,Рэйчел,Rachel
بحالة,In case,במקרה,В случае,Au cas où
إنهما,They are,הם,Они есть,Ils sont
هولي,Holly,הולי,Холли,houx
مرور,passage,מַעֲבָר,проход,passage
قلبه,His heart,ליבו,Его сердце,Son cœur
رئيسي,Main,רָאשִׁי,Основной,Principal
بشكلٍ,In a way,בדרך,В некотором смысле,Dans un sens
البيضاء,White,לבן,Белый,Blanc
إنسان,man,איש,мужчина,homme
ممتازة,Excellent,מְעוּלֶה,Отличный,Excellent
حارس,a guard,שומר,охранник,un garde
الأسنان,the teeth,השיניים,зубы,les dents
شديدة,Highly,מְאוֹד,Высоко,Très
الحمض,Acid,חוּמצָה,Кислота,Acide
إنهاء,ending,סִיוּם,конец,fin
طاولة,table,שולחן,стол,Table
قتلوا,were killed,נהרגו,были убиты,ont été tués
وكأنك,As if you were,כאילו היית,Как будто ты был,Comme si tu étais
للعشاء,for dinner,לארוחת ערב,на ужин,Pour dîner
الأزرق,Blue,כְּחוֹל,Синий,Bleu
الدعم,the support,התמיכה,Поддержка,le soutien
أمرٌ,Command,פקודה,Командование,Commande
مئة,one hundred,מאה,сто,cent
الغبية,Stupid,מְטוּפָּשׁ,Глупый,Stupide
الورق,Paper,עיתון,Бумага,Papier
شرب,drink,לִשְׁתוֹת,напиток,boire
أموال,funds,כְּסָפִים,фонды,fonds
وزارة,Ministry,מִשׂרָד,Министерство,Ministère
تتغير,Changing,מִשְׁתַנֶה,Изменение,En changeant
دائرة,circle,מעגל,круг,cercle
لايمكنك,You can not,אתה לא יכול,Вы не можете,tu ne peux pas
حاله,condition,מצב,состояние,condition
بدونك,Without You,בלעדיך,Без тебя,Sans toi
للشفقة,For compassion,לחמלה,Для сострадания,Pour compassion
كذب,to lie,לשקר,врать,mentir
مئات,favorable,מועדף,благоприятный,favorable
لايمكن,Not possible,לא אפשרי,Невозможно,impossible
مكافحة,Combat,לחימה,Боевой,Combat
بسببك,Because of you,בגללך,Из-за тебя,À cause de toi
صبي,boy,יֶלֶד,мальчик,garçon
بإمكانه,It can,זה יכול,Он может,Ça peut
يغادر,Leaves,משאיר,Листья,Feuilles
العلاقات,relations,יחסים,связи,rapports
عالي,high,גָבוֹהַ,высокий,haut
مغادرة,Departure,יְצִיאָה,Отправление,Départ
امك,Your mother,אמא שלך,Ваша мать,Ta mère
أنام,I sleep,אני מ,я сплю,je dors
شعورك,Feeling you,מרגיש אותך,Чувствуя вас,Te sentir
الطلاق,Divorce,לְהִתְגַרֵשׁ,Развод,Divorce
أنكما,You are,אתה,Ты,Tu es
شهادة,certificate,תְעוּדָה,сертификат,certificat
والدكِ,Your father,האבא שלך,Твой отец,Ton père
رؤيتي,My vision,החזון שלי,Мое видение,Ma vision
تودين,You want,אתה רוצה,Вы хотите,Tu veux
أشرب,drink,לִשְׁתוֹת,напиток,boire
التعرف,Identify,לזהות,Идентифицировать,Identité
صحيحا,right,ימין,верно,droite
عائلته,his family,המשפחה שלו,его семья,sa famille
أبقي,Keep,לִשְׁמוֹר,Держать,Donjon
صلة,Link,קישור,Связь,Lien
المشاعر,Feelings,רגשות,Чувства,Sentiments
كمية,amount,כמות,количество,montant
تعطي,Give,לָתֵת,Давать,Donner
ماغي,Maggie,מגי,Мэгги,Maggie
مغلق,closed,סגור,закрыто,fermé
الخبز,the bread,הלחם,Хлеб,le pain
تعرضت,Exposed,חָשׂוּף,Незащищенный,Exposé
أكيد,Of course,בטוח,Конечно,Bien sûr
يمتلك,Ownership,בַּעֲלוּת,Владение,La possession
فارغ,Empty,ריק,Пустой,Vide
سري,secret,סוֹד,секрет,secret
مثالية,Perfect,מושלם,Идеальный,Parfait
تنظيف,cleaning,ניקוי,уборка,nettoyage
الأرقام,Numbers,מספרים,Числа,Nombres
تساعدني,Help me,תעזור לי,Помоги мне,Aide-moi
ساحة,yard,כיכר,площадка,Cour
دوغ,Doug,דאג,Даг,Doug
بدور,In turn,בתורו,По очереди,À son tour
الخاتم,Ring,טַבַּעַת,Кольцо,Anneau
أرحل,Get out,צא החוצה,Убирайся,Sortir
عمليات,Operations,פעולות,Операции,Opérations
سيئا,Badly,רע,Плохо,Mal
زجاجة,bottle,בקבוק,бутылка,bouteille
كاميرا,camera,מצלמה,камера,caméra
النيران,Fire,אֵשׁ,Огонь,Feu
يأكل,He eats,הוא אוכל,Он ест,Il mange
انسى,Forget,לשכוח,Забывать,Oublier
الملف,File,קוֹבֶץ,Файл,Déposer
خطبك,Your sermon,הדרשה שלך,Ваша проповедь,Votre sermon
للناس,For people,לאנשים,Для людей,Pour les personnes
فكره,an idea,רעיון,идея,une idée
راحة,comfort,מנוחה,комфорт,confort
الشأن,Storm,סערה,Буря,Tempête
ميشيل,Michelle,מישל,Мишель,Michelle
اتذكر,Remember,זכור,Помнить,Se souvenir
َ,َ,َ,َ,َ
والدة,mother,אִמָא,мать,mère
متأسف,sorry,מצטער,извини,Désolé
الصيد,the hunt,הצייד,Охота,la chasse
النصف,Half,חֲצִי,Половина,Moitié
أخبرهم,Tell them,תגיד להם,Скажи им,Dis leur
الأوغاد,Pipes,צינורות,Трубы,Tuyaux
السوء,Badness,רוֹע,Злость,Méchanceté
إلقاء,throw,לזרוק,бросать,lancer
مستعدون,Ready,מוּכָן,Готовый,Prêt
الأفكار,Ideas,רעיונות,Идеи,Idées
لحظات,Moments,רגעים,Моменты,Des moments
نجح,Succeed,מצליח,Преуспевать,Réussir
العسل,Honey,דבש,Мед,le miel
تعنى,Means,אומר,Означает,Moyens
خارجاً,out,הַחוּצָה,вне,dehors
بمثابة,As,כפי ש,Как,Comme
طاب,Good,טוֹב,Хороший,Bien
أجعل,Make,עשה,Делать,Faire
قتلك,Kill you,להרוג אותך,Убить тебя,Vous tuer
القرف,Shit,לְחַרְבֵּן,Дерьмо,Merde
الحبوب,Grains,דגנים,Зерна,Céréales
يعجبك,You like,אתה אוהב,Тебе нравится,Tu aimes
الزعيم,Leader,מַנהִיג,Лидер,Chef
أخيك,Your brother,האח שלך,Твой брат,Ton frère
ْ,A,א,А,UN
أماندا,Amanda,אמנדה,Аманда,Amanda
سابقا,previously,בעבר,ранее,précédemment
ذاته,same,אותו,такой же,même
لوكاس,Lucas,לוקאס,Лукас,Lucas
طھط,Stomach,בֶּטֶן,Желудок,Estomac
معجبة,Admiration,הערצה,Восхищение,Admiration
الدين,Debt,דת,Долг,Dette
الظروف,Circumstances,נסיבות,Обстоятельства,Circonstances
التقرير,the report,"הדו""ח",Отчет,le rapport
مؤلم,painful,כּוֹאֵב,болезненно,douloureux
كيس,bag,תיק,сумка,sac
الحلم,the dream,החלום,мечта,le rêve
إستمع,I listen,אני מקשיב,я слушаю,j'écoute
يسبب,He causes,הוא גורם,Он вызывает,Il provoque
مدين,debtor,בַּעַל חוֹב,должник,débiteur
الدور,Role,תַפְקִיד,Роль,Rôle
قطار,Train,רכבת,Тренироваться,Former
سباق,race,גזע,раса,course
مرةً,Once,פַּעַם,Один раз,Une fois
ذكرت,mentioned,מוּזְכָּר,упомянул,mentionné
لشراء,To buy,לקנות,Покупать,Acheter
روبي,Tubes,צינורות,Трубки,Tubes
الجنسية,Nationality,לאום,Национальность,Nationalité
البيتزا,the pizza,הפיצה,пицца,la pizza
اود,I would like,הייתי רוצה,Я хотел бы,Je voudrais
المواد,Materials,חומרים,Материалы,Matériaux
ظهري,my back,הגב שלי,моя спина,mon dos
أنقذ,rescued,חולץ,спасено,sauvé
لحد,Limit,לְהַגבִּיל,Предел,Limite
تأتى,Come,לבוא,Приходить,Venir
وكما,And as,וכמו,И в качестве,Et comme
ذهبوا,They went,הם הלכו,Они пошли,Ils sont allés
الوثوق,Trust,אמון,Доверять,Confiance
جعلك,Make you,לגרום לך,Сделай тебя,Te faire
تحبني,You love me,אתה אוהב אותי,Ты любишь меня,Tu m'aimes
الدواء,Medicine,תרופה,Лекарство,Médecine
حمل,Pregnancy,הֵרָיוֹן,Беременность,Grossesse
اطلق,Release,לְשַׁחְרֵר,Выпускать,Libérer
الجنوب,the South,הדרום,юг,le sud
صغيراً,Small,קָטָן,Маленький,Petit
حياتهم,their lives,החיים שלהם,их жизни,leurs vies
تساعد,help,עֶזרָה,помощь,aider
أفكار,ideas,רעיונות,идеи,idées
محمد,Mohammed,מוחמד,Мухаммед,Mohammed
مشكله,problem,בעיה,проблема,problème
مكانها,Place,מקום,Место,Lieu
مكاناً,A place,מקום,Место,Un endroit
